PLAYER,TEAM,AGE,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PL/M
Andre Iguodala,GSW,38,11,6,5,2.9,0.3,0.1,0.4,25,0.1,0.2,50,0,0,0,0.2,0.4,0.5,0.5,0.3,0.1,0,0.4,1.7,0,0,0
Andrew Wiggins,GSW,27,35,19,16,3.6,1.1,0.5,1.2,40.5,0.1,0.4,23.1,0.1,0.1,60,0.1,0.3,0.4,0.2,0.1,0.1,0,0.4,2.2,0,0,-0.1
Anfernee Simons,POR,23,19,9,10,2.8,1.9,0.6,1.5,39.3,0.3,0.7,35.7,0.5,0.5,100,0.1,0.1,0.1,0.3,0.3,0.1,0,0.3,2.4,2,0,1.3
Anthony Davis,LAL,29,23,11,12,5,3,1.1,2.1,54.2,0,0.3,0,0.7,1,70.8,0.6,1.2,1.8,0.5,0.1,0.2,0.3,0.5,7.2,14,0,0
Anthony Edwards,MIN,20,33,17,16,3.3,1.4,0.4,1.2,31.6,0.2,0.6,25,0.5,0.6,89.5,0.1,0.4,0.5,0.2,0.2,0,0.1,0.2,2.4,2,0,-0.1
Anthony Gill,WAS,29,9,7,2,1.6,0.6,0.1,0.3,33.3,0.1,0.2,50,0.2,0.2,100,0.1,0.3,0.4,0,0.1,0,0,0.3,1,0,0,0.6
Armoni Brooks,TOR,24,5,2,3,1.5,0.6,0.2,0.2,100,0.2,0.2,100,0,0,0,0,0.4,0.4,0,0,0,0.2,0,1.7,0,0,-0.4
Austin Reaves,LAL,24,25,10,15,3.2,1.4,0.5,1,46.2,0.2,0.6,35.7,0.2,0.2,100,0.2,0.4,0.6,0.1,0,0.1,0.1,0.2,2.9,1,1,-1
Austin Rivers,DEN,29,25,17,8,2.8,0.6,0.2,0.6,37.5,0.1,0.4,30,0,0,0,0,0.2,0.2,0,0.1,0.1,0,0.3,1.1,0,0,0.8
Avery Bradley,LAL,31,26,13,13,3,0.7,0.2,0.5,50,0.2,0.3,50,0.1,0.1,100,0,0.3,0.3,0,0.1,0.2,0,0.4,1.4,0,0,-0.8
Ayo Dosunmu,CHI,22,24,15,9,2.8,0.9,0.4,0.8,50,0.1,0.2,50,0.1,0.2,50,0.1,0.2,0.3,0.2,0.1,0,0,0.4,1.8,2,0,1
Bam Adebayo,MIA,24,28,16,12,3.8,1.4,0.3,0.6,52.9,0,0,0,0.7,0.9,80,0.2,0.6,0.9,0.3,0.3,0,0.3,0.5,3.4,14,0,0.1
Ben McLemore,POR,29,10,6,4,2.3,1,0.2,1,20,0.2,1,20,0.4,0.6,66.7,0,0.3,0.3,0,0,0,0,0.2,1.4,0,0,1.8
Bismack Biyombo,PHX,29,10,7,3,1.4,1.2,0.4,0.4,100,0,0,0,0.4,0.7,57.1,0.2,0,0.2,0.2,0.1,0,0.1,0.2,1.9,3,0,1.4
Blake Griffin,BKN,33,15,7,8,2.2,0.5,0.2,0.3,60,0.1,0.2,33.3,0,0,0,0.2,0.3,0.5,0.5,0.1,0.1,0,0.5,1.9,0,0,1.6
Boban Marjanovic,DAL,33,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Bobby Portis,MIL,27,28,17,11,2.4,0.7,0.2,0.4,50,0.1,0.2,40,0.2,0.3,66.7,0.2,0.1,0.3,0.1,0,0,0,0.3,1.3,12,0,0.5
Bogdan Bogdanovic,ATL,29,22,9,13,3.2,2.4,0.9,2,44.2,0.4,1.2,29.6,0.3,0.3,100,0.1,0.3,0.4,0.1,0.1,0.1,0,0.4,3.2,0,0,-0.3
Bojan Bogdanovic,UTA,33,34,16,18,3.5,1.6,0.5,1.2,40.5,0.3,1,33.3,0.3,0.4,76.9,0,0.4,0.4,0,0,0,0,0.4,2.2,1,0,0.6
Bones Hyland,DEN,21,7,4,3,3.2,1.4,0.4,1.1,37.5,0.3,1,28.6,0.3,0.4,66.7,0,0.1,0.1,0.4,0,0,0,0.7,2.2,0,0,0.6
Brad Wanamaker,WAS,32,1,0,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
Bradley Beal,WAS,29,18,13,5,4.2,2.9,0.9,2.3,41.5,0.1,0.6,20,0.9,1.1,89.5,0.2,0.7,0.8,0.9,0.7,0.1,0.1,0.3,5.1,2,0,1.9
Brandon Boston Jr.,LAC,20,5,2,3,2.4,1,0.4,1,40,0.2,0.4,50,0,0,0,0,0.6,0.6,0.2,0,0,0,0.2,2,0,0,-0.8
Brandon Clarke,MEM,25,17,12,5,2.2,1.1,0.5,0.6,72.7,0,0,0,0.2,0.3,60,0.6,0.3,0.9,0.2,0.1,0.1,0.2,0.4,3.2,1,0,1.4
Brandon Goodwin,CLE,26,10,5,5,2.8,0.7,0.2,1.1,18.2,0.1,0.5,20,0.2,0.4,50,0.4,0.6,1,0.3,0.3,0.1,0,0.8,2.4,1,0,0.8
Brandon Ingram,NOP,24,20,11,9,3.9,2.6,0.8,2.1,39,0.2,0.5,33.3,0.8,1.1,76.2,0.1,0.7,0.8,0.4,0.5,0.1,0.1,0.3,4,2,0,0.4
Brandon Knight,DAL,30,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,-3
Brandon Williams,POR,22,4,1,3,4.7,3,0.8,3.8,20,0,1,0,1.5,1.5,100,0.3,0.3,0.5,0.8,0.3,0.5,0,0.5,6,1,0,0.3
Braxton Key,DET,25,2,1,1,1.6,0.5,0,0.5,0,0,0,0,0.5,1,50,0,0,0,0,0,0,0,1.5,0.5,0,0,-6
Brodric Thomas,BOS,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brook Lopez,MIL,34,3,2,1,1.8,0,0,0.7,0,0,0.7,0,0,0,0,0,0.3,0.3,0,0.3,0,0,0.3,0.1,0,0,-1.7
Bruce Brown,BKN,25,24,11,13,2.4,0.6,0.2,0.5,41.7,0.1,0.1,66.7,0.1,0.1,66.7,0.2,0.3,0.5,0,0.1,0,0,0.3,1.4,0,0,-0.3
Bruno Fernando,HOU,23,2,1,1,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,-0.5,1,0,0.5
Bryn Forbes,DEN,28,13,5,8,2.2,1.7,0.5,1,53.8,0.3,0.5,66.7,0.3,0.3,100,0,0.2,0.2,0,0.2,0,0,0.2,1.8,0,0,-0.1
Buddy Hield,IND,29,39,12,27,3.3,1.6,0.4,1.3,26.9,0.2,0.8,25,0.7,0.7,96.4,0.1,0.5,0.5,0.2,0.1,0.1,0.1,0.3,2.9,0,0,-1
CJ Elleby,POR,22,6,2,4,4,0.5,0.2,0.5,33.3,0.2,0.2,100,0,0,0,0.2,0.5,0.7,0.3,0.3,0.2,0,0.3,2,0,0,-1.5
CJ McCollum,NOP,30,24,10,14,2.8,1.3,0.5,1.3,41.9,0,0.3,16.7,0.2,0.3,71.4,0.1,0.3,0.4,0.5,0.2,0.2,0,0.3,3.1,1,0,0
Cade Cunningham,DET,20,34,16,18,3.3,2,0.7,1.9,38.5,0.1,0.4,21.4,0.4,0.5,87.5,0.1,0.8,0.9,0.4,0.4,0.1,0.1,0.5,3.8,8,2,-1.2
Caleb Martin,MIA,26,20,11,9,1.4,0.2,0.1,0.1,100,0,0,0,0.1,0.1,100,0.1,0.2,0.3,0.1,0.1,0.2,0.1,0.4,1.3,0,0,0.6
Cam Reddish,NYK,22,9,3,6,1.8,0.7,0.2,0.6,40,0.1,0.2,50,0.1,0.2,50,0.2,0.1,0.3,0.1,0,0,0,0.2,1.2,0,0,-2
Cam Thomas,BKN,20,10,3,7,2.3,1.5,0.5,1.4,35.7,0.2,0.7,28.6,0.3,0.4,75,0,0.5,0.5,0.2,0.2,0,0,0.2,2.2,0,0,0.1
Cameron Johnson,PHX,26,25,22,3,1.7,0.9,0.3,0.5,58.3,0.3,0.4,63.6,0.1,0.1,66.7,0,0.3,0.3,0.1,0,0,0,0.2,1.4,0,0,1.6
Cameron Oliver,ATL,25,1,1,0,1.8,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1.5,0,0,5
Cameron Payne,PHX,27,9,5,4,3.5,2.1,0.6,1.2,45.5,0.1,0.2,50,0.9,1.2,72.7,0,0.4,0.4,0.7,0.3,0,0,0.4,3.3,2,0,0.1
Caris LeVert,CLE,27,28,9,19,3.7,1.8,0.7,1.8,37.3,0.1,0.6,23.5,0.3,0.5,60,0.3,0.4,0.6,0.3,0.3,0,0,0.4,2.9,0,0,-0.8
